question,answer,explanation,chapter
"Your client Megacorp has 235 permanent employees, but, in accordance with the recommendations of Modern Consulting Corporation, it also has 567 temporary employees who have no benefits. Megacorp qualifies as a Small Entity.",False,"A small entity must have 500 or fewer employees total. Megacorp has 235 permanent + 567 temporary = 802 employees, exceeding the limit.",0500 - Receipt and Handling of Mail and Papers
The offer of a license to an invention prior to filing a patent application is considered prior art under AIA 102(a)(l).,False,The USPTO has determined that a license that merely grants rights under a patent cannot trigger the on-sale bar. An offer to enter into a license for future sale of an invention is not considered an offer to sell the patented invention.,2100 - Patentability
"A patent is precluded under AIA 102 if the claimed invention was patented, described in a printed publication, or in public use, on sale, or otherwise available to the public more than 12 months before the effective filing date of the claimed invention.",True,"This accurately describes the prior art captured under pre-AIA 102(b). The AIA changes made more, not less, things considered prior art.",2100 - Patentability
"A patent is always precluded under AIA 102 if the claimed invention was patented, described in a printed publication, or in public use, on sale, or otherwise available to the public before the effective filing date of the claimed invention.",False,"There is a limited exception under 102(b) for inventors. While narrow and not to be relied upon, it does exist, making it incorrect to say a patent is 'always precluded' in this circumstance.",2100 - Patentability
Secret sale or use activity does not qualify as prior art under AIA 102(a)(l).,True,The USPTO interprets the 'or otherwise available to the public' clause of AIA 102(a)(1) to indicate that secret sale or use activity does not qualify as prior art.,2100 - Patentability
"In order to establish entitlement to an exception under AIA 102(b)(l)(B), the applicant must file an affidavit under Rule 1.131.",False,"A Rule 1.131 affidavit is used to swear behind a reference in pre-AIA novelty rejections. For AIA 102(b) exceptions, applicants file an affidavit under 37 C.F.R. 1.130.",2100 - Patentability
"If a U.S. patent, U.S. patent application publication, or WIPO-published application claims priority to one or more prior-filed foreign or international applications under 35 U.S.C. 119 or 365, the patent or published application will be considered effectively filed on the filing date of the earliest such application that describes the subject matter.",True,"Under AIA 35 U.S.C. 102(d), a foreign filing date can be the prior art date for a reference if the patent or application is entitled to claim right of priority under various sections (35 USC 119, 365(a), 365(b), etc.).",1800 - Patent Cooperation Treaty
A disclosure that would otherwise qualify as prior art under AIA 35 U.S.C. 102(a)(2) may be disqualified as prior art if the subject matter disclosed was obtained directly or indirectly from the inventor or a joint inventor.,True,"The exception limits using an inventor's own work as prior art when disclosed in a U.S. patent, published application, or WIPO publication by another who obtained it directly or indirectly from the inventor.",2100 - Patentability
37 CFR 1.130 provides for the disqualification of a disclosure as prior art on the basis of attribution or a prior public disclosure of the inventor's or a joint inventor's own work.,True,37 CFR 1.130 allows for disqualification of a disclosure as prior art based on attribution or prior public disclosure of the inventor's own work under AIA 102(b).,2100 - Patentability
"In order for an applicant to be entitled to the exception under AIA 102(b)(l)(B), the mode of disclosure by an inventor or joint inventor must be the same as the mode of disclosure of an intervening disclosure.",False,"There is no requirement that the mode of disclosure by an inventor be the same as the mode of an intervening disclosure (e.g., trade show vs. journal publication).",2100 - Patentability
There is no requirement that the disclosure by the inventor or a joint inventor be a verbatim or 'ipsissimis verbis' ('close to verbatim') disclosure of the intervening grace period disclosure.,True,The USPTO has stated there is no requirement for the inventor's disclosure to be verbatim or 'ipsissimis verbis' of an intervening disclosure for the exception to apply.,2100 - Patentability
Failure to respond to a Notice of Omitted Items will result in the application being abandoned.,True,"You must respond in some way to a Notice of Omitted Items or the application will go abandoned, even if not with a substantive response.",0700 - Examination of Applications
Divisions and continuations of design applications can be filed as a Continued Prosecution Application (CPA) under Rule 1.53(d).,True,A continuation or divisional application may be filed under 37 CFR l.53(d) if the prior nonprovisional application is a design application that is complete.,0200 - Types and Status of Application; Benefit and Priority Claims
A provisional application is not complete until a cover sheet is submitted.,True,"Per 37 C.F.R. l.53(c)(l), a provisional application must include a cover sheet. Without one, the application is treated as a nonprovisional application.",0200 - Types and Status of Application; Benefit and Priority Claims
"A certified copy of the foreign application must be filed within the later of four months from the actual filing date of the application or 16 months from the filing date of the prior foreign application, unless the filing of the certified copy is otherwise accepted.",True,"Per 37 C.F.R. l.55(f), certified copies must be filed within the later of 4 months from filing or 16 months from prior foreign application, with exceptions in Rules 55(h) and 55(i).",1800 - Patent Cooperation Treaty
"Your client John Huang advised you today that he can claim priority from an application filed in India last year, and provides you with a certified copy of the Indian application. Unfortunately, the issue fee was paid last week. Priority can still be claimed provided that the priority papers are accompanied by the required fee under 37 CFR 1.55. However, the claim for priority will not be printed on the patent. Instead, the claim for priority will be reviewed and corrected by a Certificate of Correction.",True,"This is true if the applicant can demonstrate the delay in submitting the priority claim was unintentional, per 37 C.F.R. l.55(e).",1400 - Correction of Patents
"The expiration date for a U.S. patent filed June 8, 1995, which is a division of an earlier abandoned application, is June 8, 2015.",False,"For applications filed on or after June 8, 1995, the patent term is 20 years from the filing date of the earliest application to which it claims priority, not the divisional filing date.",2500 - Maintenance Fees
